#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	superkingdom	phylum	class	order	family	genus	species
Natronomonas moolapensis 8.8.11	268739	PRJEA50649	50649	Euryarchaeota	Halobacteria	2.91257	64.5	NC_020388.1	HF582854.1	-	-	-	1	2897	2749	2013/02/21	2014/02/27	Complete	Max-Planck-Institute of Biochemistry	-	GCA_000591055.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronomonas	Natronomonas moolapensis
Methanospirillum hungatei JF-1	323259	PRJNA13015	13015	Euryarchaeota	Methanomicrobia	3.54474	45.1	NC_007796.1	CP000254.1	-	-	-	1	3294	3131	2006/02/17	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598287	GCA_000013445.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanospirillaceae	Methanospirillum	Methanospirillum hungatei
Methanothermobacter marburgensis str. Marburg	79929	PRJNA40103	40103	Euryarchaeota	Methanobacteria	1.63914	48.5913	NC_014408.1	CP001710.1	NC_014409.1	CP001711.1	-	2	1806	1757	2010/08/11	2014/01/30	Complete	Georg-August-University Goettingen	SAMN02603260	GCA_000145295.1	REPR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter marburgensis
Thermococcus kodakarensis KOD1	69014	PRJNA13213	13213	Euryarchaeota	Thermococci	2.08874	52	NC_006624.1	AP006878.1	-	-	-	1	2358	2306	2005/01/06	2013/06/10	Complete	Kyoto University, Japan	-	GCA_000009965.1	REPR	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus kodakarensis
Thermococcus litoralis DSM 5473	523849	PRJNA81925	81925	Euryarchaeota	Thermococci	2.21517	43.1	NC_022084.1	CP006670.1	-	-	-	1	2575	2516	2013/08/13	2013/12/09	Complete	New England Biolabs, Inc.	SAMN02603679	GCA_000246985.3	REPR	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus litoralis
Halopiger xanaduensis SH-6	797210	PRJNA56049	56049	Euryarchaeota	Halobacteria	4.35527	65.1966	NC_015666.1	CP002839.1	NC_015667.1,NC_015659.1,NC_015658.1	CP002841.1,CP002842.1,CP002840.1	-	4	4370	4221	2011/06/09	2013/07/17	Complete	US DOE Joint Genome Institute	SAMN02232028	GCA_000217715.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halopiger	Halopiger xanaduensis
Acidilobus saccharovorans 345-15	666510	PRJNA39927	39927	Crenarchaeota	Thermoprotei	1.49645	57.2	NC_014374.1	CP001742.1	-	-	-	1	1551	1499	2010/08/06	2014/01/30	Complete	Centre Bioengineering RAS	SAMN02603091	GCA_000144915.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus saccharovorans
Natronomonas pharaonis DSM 2160	348780	PRJNA15742	15742	Euryarchaeota	Halobacteria	2.7497	63.0807	NC_007426.1	CR936257.1	NC_007427.1,NC_007428.1	CR936258.1,CR936259.1	-	3	2892	2820	2005/09/28	2013/05/23	Complete	Max Planck Institute	-	GCA_000026045.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronomonas	Natronomonas pharaonis
Methanosalsum zhilinae DSM 4017	679901	PRJNA40771	40771	Euryarchaeota	Methanomicrobia	2.13844	39.2	NC_015676.1	CP002101.1	-	-	-	1	2086	1976	2011/06/13	2013/07/17	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02232039	GCA_000217995.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosalsum	Methanosalsum zhilinae
Methanosaeta concilii GP6	990316	PRJNA63185	63185	Euryarchaeota	Methanomicrobia	3.02664	50.9577	NC_015416.1	CP002565.1	NC_015430.1	CP002566.1	-	2	2927	2850	2011/04/15	2013/07/06	Complete	University of Wisconsin-Parkside	SAMN02604263	GCA_000204415.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	Methanosaeta concilii
Thermococcus sibiricus MM 739	604354	PRJNA34531	34531	Euryarchaeota	Thermococci	1.8458	40.2	NC_012883.1	CP001463.1	-	-	-	1	2107	2035	2009/06/29	2014/01/30	Complete	Centre	SAMN02603090	GCA_000022545.1	REPR	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sibiricus
Methanomethylovorans hollandica DSM 15978	867904	PRJNA50749	50749	Euryarchaeota	Methanomicrobia	2.71401	41.8436	NC_019977.1	CP003362.1	NC_019972.1	CP003363.1	-	2	2726	2556	2012/12/28	2013/07/22	Complete	JGI	SAMN02261367	GCA_000328665.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanomethylovorans	Methanomethylovorans hollandica
Pyrococcus furiosus COM1	1185654	PRJNA163827	163827	Euryarchaeota	Thermococci	1.90983	40.8	NC_018092.1	CP003685.1	-	-	-	1	2113	2064	2012/06/29	2014/01/30	Complete	ENIGMA- Ecosystems and Networks Integrated with Genes and Molecular Assemblies	SAMN02603219	GCA_000275605.1	-	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
Caldisphaera lagunensis DSM 15908	1056495	PRJNA70815	70815	Crenarchaeota	Thermoprotei	1.54685	30	NC_019791.1	CP003378.1	-	-	-	1	1576	1478	2012/12/10	2013/07/22	Complete	JGI	SAMN02261426	GCA_000317795.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera lagunensis
Pyrococcus yayanosii CH1	529709	PRJNA66055	66055	Euryarchaeota	Thermococci	1.71682	51.6	NC_015680.1	CP002779.1	-	-	-	1	1952	1865	2011/06/07	2013/07/06	Complete	Shanghai JiaoTong University	SAMN02603867	GCA_000215995.1	REPR	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus yayanosii
Archaeoglobus veneficus SNP6	693661	PRJNA51621	51621	Euryarchaeota	Archaeoglobi	1.90194	47	NC_015320.1	CP002588.1	-	-	-	1	2194	2090	2011/03/31	2013/07/06	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00713598	GCA_000194625.1	REPR	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus veneficus
Candidatus Nitrosopumilus koreensis AR1	1229908	PRJNA174387	174387	Thaumarchaeota	Nitrosopumilales	1.63996	34.2	NC_018655.1	CP003842.1	-	-	-	1	1931	1890	2012/09/27	2014/01/30	Complete	Chungbuk National University	SAMN02603137	GCA_000299365.1	REPR	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Candidatus Nitrosoarchaeum	Candidatus Nitrosoarchaeum koreensis
Methanococcoides burtonii DSM 6242	259564	PRJNA9634	9634	Euryarchaeota	Methanomicrobia	2.57503	40.8	NC_007955.1	CP000300.1	-	-	-	1	2497	2273	2006/04/10	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598545	GCA_000013725.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides burtonii
Metallosphaera cuprina Ar-4	1006006	PRJNA65497	65497	Crenarchaeota	Thermoprotei	1.84035	42	NC_015435.1	CP002656.1	-	-	-	1	2077	2029	2011/04/19	2014/01/30	Complete	Environmental Microbiology Research Center (EMRC)	SAMN02603221	GCA_000204925.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera cuprina
Methanosaeta harundinacea 6Ac	1110509	PRJNA76151	76151	Euryarchaeota	Methanomicrobia	2.57103	60.5692	NC_017527.1	CP003117.1	NC_016637.1	CP003118.1	-	2	2414	2371	2011/11/16	2013/06/08	Complete	State Key Laboratory of Microbial Resources, Institute of Microbiology, Chinese Academy of Sciences	SAMN02603883	GCA_000235565.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	Methanosaeta harundinacea
Methanocaldococcus jannaschii DSM 2661	243232	PRJNA102	102	Euryarchaeota	Methanococci	1.73993	31.2688	NC_000909.1	L77117.1	NC_001732.1,NC_001733.1	L77118.1,L77119.1	-	3	1823	1771	1996/08/21	2013/05/23	Complete	TIGR	SAMN02603984	GCA_000091665.1	REPR	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus jannaschii
Thermococcus barophilus MP	391623	PRJNA19379	19379	Euryarchaeota	Thermococci	2.06424	41.7082	NC_014804.1	CP002372.1	NC_015471.1	CP002373.1	-	2	2315	2265	2010/12/17	2013/07/06	Complete	Moore Foundation	SAMN02603625	GCA_000151105.2	REPR	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus barophilus
Thermofilum pendens Hrk 5	368408	PRJNA16331	16331	Crenarchaeota	Thermoprotei	1.81339	57.6792	NC_008698.1	CP000505.1	NC_008696.1	CP000506.1	-	2	1947	1878	2006/12/18	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598366	GCA_000015225.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum pendens
Desulfurococcus fermentans DSM 16532	768672	PRJNA49401	49401	Crenarchaeota	Thermoprotei	1.38412	44.8	NC_018001.1	CP003321.1	-	-	-	1	1522	1421	2012/06/07	2013/07/17	Complete	DOE Joint Genome Institute	SAMN02232017	GCA_000231015.3	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus fermentans
Methanosarcina acetivorans C2A	188937	PRJNA290	290	Euryarchaeota	Methanomicrobia	5.75149	42.7	NC_003552.1	AE010299.1	-	-	-	1	4721	4540	2002/03/20	2013/06/10	Complete	Broad Institute	-	GCA_000007345.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina acetivorans
Halovivax ruber XH-70	797302	PRJNA59897	59897	Euryarchaeota	Halobacteria	3.22388	64.3	NC_019964.1	CP003050.1	-	-	-	1	3187	3099	2012/12/27	2013/07/17	Complete	DOE Joint Genome Institute	SAMN02232030	GCA_000328525.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halovivax	Halovivax ruber
Ferroplasma acidarmanus fer1	333146	PRJNA239	239	Euryarchaeota	Thermoplasmata	1.93521	36.5	NC_021592.1	CP004145.1	-	-	-	1	2001	1951	2013/06/26	2013/07/07	Complete	DOE Joint Genome Institute	SAMN02604346	GCA_000152265.2	REPR	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Ferroplasmaceae	Ferroplasma	Ferroplasma acidarmanus
Methanococcus aeolicus Nankai-3	419665	PRJNA18641	18641	Euryarchaeota	Methanococci	1.5695	30	NC_009635.1	CP000743.1	-	-	-	1	1552	1490	2007/06/29	2013/12/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00623051	GCA_000017185.1	REPR	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus aeolicus
Methanobrevibacter ruminantium M1	634498	PRJNA34681	34681	Euryarchaeota	Methanobacteria	2.9372	32.6	NC_013790.1	CP001719.1	-	-	-	1	2283	2217	2010/02/05	2013/06/10	Complete	Pastoral Greenhouse Gas Research Consortium	SAMN02603710	GCA_000024185.1	REPR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter ruminantium
Methanococcus maripaludis C5	402880	PRJNA17641	17641	Euryarchaeota	Methanococci	1.78905	32.9731	NC_009135.1	CP000609.1	NC_009136.1	CP000610.1	-	2	1889	1822	2007/03/15	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598397	GCA_000016125.1	-	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
Haloquadratum walsbyi C23	768065	PRJEA49335	49335	Euryarchaeota	Halobacteria	3.26048	47.6941	NC_017459.1	FR746099.1	NC_017457.1,NC_017460.1,NC_017458.1	FR746100.1,FR746101.1,FR746102.1	-	4	3553	2652	2011/05/31	2013/06/08	Complete	Max-Planck-Institute of Biochemistry	-	GCA_000237865.1	-	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloquadratum	Haloquadratum walsbyi
Sulfolobus tokodaii str. 7	273063	PRJNA246	246	Crenarchaeota	Thermoprotei	2.69476	32.8	NC_003106.2	BA000023.2	-	-	-	1	2875	2826	2001/10/04	2013/06/10	Complete	NITE	-	GCA_000011205.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus tokodaii
Halomicrobium mukohataei DSM 12286	485914	PRJNA27945	27945	Euryarchaeota	Halobacteria	3.33235	65.5068	NC_013202.1	CP001688.1	NC_013201.1	CP001689.1	-	2	3475	3349	2009/09/03	2013/12/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00002610	GCA_000023965.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halomicrobium	Halomicrobium mukohataei
Pyrolobus fumarii 1A	694429	PRJNA48579	48579	Crenarchaeota	Thermoprotei	1.84327	54.9	NC_015931.1	CP002838.1	-	-	-	1	2038	1967	2011/08/12	2013/07/17	Complete	DOE Joint Genome Institute	SAMN02232047	GCA_000223395.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrolobus	Pyrolobus fumarii
Fervidicoccus fontis Kam940	1163730	PRJNA91117	91117	Crenarchaeota	Thermoprotei	1.31921	37.5	NC_017461.1	CP003423.1	-	-	-	1	1439	1385	2012/04/10	2014/01/30	Complete	Centre Bioengineering RAS	SAMN02603095	GCA_000258425.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Fervidicoccales	Fervidicoccaceae	Fervidicoccus	Fervidicoccus fontis
Thermogladius cellulolyticus 1633	1184251	PRJNA163135	163135	Crenarchaeota	Thermoprotei	1.35632	55.6	NC_017954.1	CP003531.1	-	-	-	1	1465	1413	2012/05/25	2014/01/30	Complete	Centre Bioengineering RAS	SAMN02603096	GCA_000264495.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius	Thermogladius cellulolyticus
Nitrosopumilus maritimus SCM1	436308	PRJNA19265	19265	Thaumarchaeota	Nitrosopumilales	1.64526	34.2	NC_010085.1	CP000866.1	-	-	-	1	1847	1796	2007/11/15	2013/12/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00000032	GCA_000018465.1	REPR	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Nitrosopumilus maritimus
Methanothermobacter thermautotrophicus str. Delta H	187420	PRJNA289	289	Euryarchaeota	Methanobacteria	1.75138	49.5	NC_000916.1	AE000666.1	-	-	-	1	1921	1873	1997/11/17	2014/01/30	Complete	Genome Therapeutics Corporation	SAMN02603244	GCA_000008645.1	REPR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter thermautotrophicus
Halalkalicoccus jeotgali B3	795797	PRJNA49517	49517	Euryarchaeota	Halobacteria	3.69865	62.5582	NC_014297.1	CP002062.1	NC_014298.1,NC_014301.1,NC_014303.1,NC_014299.1,NC_014302.1,NC_014300.1	CP002063.1,CP002066.1,CP002068.1,CP002064.1,CP002067.1,CP002065.1	-	7	3925	3873	2010/06/23	2013/06/08	Complete	Kyung Hee University	SAMN02603490	GCA_000196895.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halalkalicoccus	Halalkalicoccus jeotgali
Desulfurococcus kamchatkensis 1221n	490899	PRJNA28141	28141	Crenarchaeota	Thermoprotei	1.36522	45.3	NC_011766.1	CP001140.1	-	-	-	1	1524	1471	2008/12/24	2014/01/30	Complete	Centre 'Bioengineering' RAS	SAMN02603098	GCA_000020905.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus kamchatkensis
Pyrococcus horikoshii OT3	70601	PRJNA207	207	Euryarchaeota	Thermococci	1.7385	41.9	NC_000961.1	BA000001.2	-	-	-	1	2000	1950	2001/07/03	2013/06/10	Complete	NITE	-	GCA_000011105.1	REPR	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus horikoshii
Halostagnicola larsenii XH-48	797299	PRJNA71415	71415	Euryarchaeota	Halobacteria	4.13118	60.8653	-	CP007055.1	-	CP007057.1,CP007058.1,CP007059.1,CP007056.1	-	5	4246	4171	2014/01/13	2014/01/13	Complete	JGI	-	GCA_000517625.1	-	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halostagnicola	Halostagnicola larsenii
Methanocaldococcus fervens AG86	573064	PRJNA32615	32615	Euryarchaeota	Methanococci	1.50725	32.2088	NC_013156.1	CP001696.1	NC_013157.1	CP001697.1	-	2	1665	1581	2009/08/28	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598490	GCA_000023985.1	REPR	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus fervens
Candidatus Korarchaeum cryptofilum OPF8	374847	PRJNA16525	16525	Korarchaeota	Candidatus Korarchaeum	1.59076	49	NC_010482.1	CP000968.1	-	-	-	1	1662	1603	2008/03/18	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598368	GCA_000019605.1	REPR	Archaea	Korarchaeota	NA	NA	NA	Candidatus Korarchaeum	Candidatus Korarchaeum cryptofilum
Haloferax mediterranei ATCC 33500	523841	PRJNA43185	43185	Euryarchaeota	Halobacteria	3.90471	60.2551	NC_017941.1	CP001868.1	NC_017944.1,NC_017942.1,NC_017943.1	CP001871.1,CP001869.1,CP001870.1	-	4	3928	3863	2012/05/22	2013/06/09	Complete	Institute of Microbiology, Chinese Academy of Sciences	SAMN02603397	GCA_000306765.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax	Haloferax mediterranei
Aciduliprofundum boonei T469	439481	PRJNA38403	38403	Euryarchaeota	unclassified Euryarchaeota	1.48678	39.2	NC_013926.1	CP001941.1	-	-	-	1	1601	1544	2010/02/24	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598523	GCA_000025665.1	REPR	Archaea	Euryarchaeota	NA	NA	NA	Aciduliprofundum	Aciduliprofundum boonei
Methanohalophilus mahii DSM 5219	547558	PRJNA30711	30711	Euryarchaeota	Methanomicrobia	2.01242	42.6	NC_014002.1	CP001994.1	-	-	-	1	2096	1987	2010/03/31	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598474	GCA_000025865.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalophilus	Methanohalophilus mahii
Natronobacterium gregoryi SP2	797304	PRJNA60135	60135	Euryarchaeota	Halobacteria	3.78836	62.2	NC_019792.1	CP003377.1	-	-	-	1	3835	3656	2012/12/10	2013/07/17	Complete	DOE Joint Genome Institute	SAMN02232042	GCA_000230715.3	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronobacterium	Natronobacterium gregoryi
Aeropyrum camini SY1 = JCM 12091	1198449	PRJDB107	221786	Crenarchaeota	Thermoprotei	1.59599	56.7	NC_022521.1	AP012489.1	-	-	-	1	1695	1645	2013/09/28	2013/10/17	Complete	Laboratory of Marine Microbiology, Division of Applied Biosciences, Graduate School of Agriculture, Kyoto University	-	GCA_000591035.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	Aeropyrum camini
Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1	1295009	PRJNA189659	189659	Euryarchaeota	Methanomicrobia	1.93165	41.3	NC_021353.1	CP005934.1	-	-	-	1	1868	1820	2013/06/03	2013/11/22	Complete	Universite d'Auvergne	-	GCA_000404225.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	NA	NA	Methanomassiliicoccus	Candidatus Methanomassiliicoccus intestinalis
Candidatus Nitrososphaera gargensis Ga9.2	1237085	PRJNA60505	60505	Thaumarchaeota	Nitrososphaerales	2.83387	48.3	NC_018719.1	CP002408.1	-	-	-	1	3602	3565	2012/10/05	2014/01/30	Complete	Georg-August-University Goettingen	SAMN02603264	GCA_000303155.1	REPR	Archaea	Thaumarchaeota	NA	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Candidatus Nitrososphaera gargensis
Haloarcula marismortui ATCC 43049	272569	PRJNA105	105	Euryarchaeota	Halobacteria	4.27464	61.1403	NC_006396.1,NC_006397.1	AY596297.1,AY596298.1	NC_006394.1,NC_006393.1,NC_006389.1,NC_006395.1,NC_006392.1,NC_006391.1,NC_006390.1	AY596295.1,AY596294.1,AY596290.1,AY596296.1,AY596293.1,AY596292.1,AY596291.1	-	9	4304	4243	2004/11/02	2013/05/23	Complete	Institute for Systems Biology	SAMN02603385	GCA_000011085.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula	Haloarcula marismortui
Archaeoglobus fulgidus DSM 4304	224325	PRJNA104	104	Euryarchaeota	Archaeoglobi	2.1784	48.6	NC_000917.1	AE000782.1	-	-	-	1	2486	2420	1997/12/17	2013/06/10	Complete	TIGR	SAMN02603985	GCA_000008665.1	REPR	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
Pyrobaculum aerophilum str. IM2	178306	PRJNA172	172	Crenarchaeota	Thermoprotei	2.22243	51.4	NC_003364.1	AE009441.1	-	-	-	1	2703	2602	2001/12/12	2013/08/26	Complete	UCLA/CalTech	SAMN02604075	GCA_000007225.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum
