#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	superkingdom	phylum	class	order	family	genus	species
Acidaminococcus intestini RyC-MR95	568816	PRJNA32215	32215	Firmicutes	Negativicutes	2.48777	50	NC_016077.1	CP003058.1	-	-	-	1	2469	2401	2011/10/07	2013/07/06	Complete	Ramon y Cajal University Hospital  of Madrid, Valencia University and Public Health Research Superior Center (CSISP) of Valencia's Goverment, Spain	SAMN02603738	GCA_000230275.1	REPR	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus intestini
Slackia heliotrinireducens DSM 20476	471855	PRJNA20831	20831	Actinobacteria	Actinobacteria	3.16504	60.2	NC_013165.1	CP001684.1	-	-	-	1	2855	2766	2009/08/28	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598438	GCA_000023885.1	REPR	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Slackia	Slackia heliotrinireducens
Nocardiopsis dassonvillei subsp. dassonvillei DSM 43111	446468	PRJNA19709	19709	Actinobacteria	Actinobacteria	6.54331	72.7052	NC_014210.1,NC_014211.1	CP002040.1,CP002041.1	-	-	-	2	5647	5497	2010/05/26	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598425	GCA_000092985.1	REPR	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiopsaceae	Nocardiopsis	Nocardiopsis dassonvillei
Acinetobacter calcoaceticus PHEA-2	871585	PRJNA51267	51267	Proteobacteria	Gammaproteobacteria	3.86253	38.8	NC_016603.1	CP002177.1	-	-	-	1	3674	3599	2011/03/03	2014/01/30	Complete	Biotechnology Research Institute, Chinese Academy of Agricultural Sciences	SAMN02603040	GCA_000191145.1	REPR	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter calcoaceticus
Polaromonas naphthalenivorans CJ2	365044	PRJNA13418	13418	Proteobacteria	Betaproteobacteria	5.36614	61.6566	NC_008781.1	CP000529.1	NC_008758.1,NC_008761.1,NC_008763.1,NC_008762.1,NC_008757.1,NC_008760.1,NC_008764.1,NC_008759.1	CP000531.1,CP000534.1,CP000536.1,CP000535.1,CP000530.1,CP000533.1,CP000537.1,CP000532.1	-	9	5063	4929	2007/01/04	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598302	GCA_000015505.1	REPR	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Polaromonas	Polaromonas naphthalenivorans
Planctomyces limnophilus DSM 3776	521674	PRJNA29411	29411	Planctomycetes	Planctomycetia	5.46009	53.7224	NC_014148.1	CP001744.1	NC_014149.1	CP001745.1	-	2	4373	4258	2010/05/13	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598463	GCA_000092105.1	REPR	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Planctomyces	Planctomyces limnophilus
Lactobacillus casei LOCK919	1318635	PRJNA196824	196824	Firmicutes	Bacilli	3.14337	46.1782	NC_021721.1	CP005486.1	NC_021722.1	CP005487.1	-	2	3178	3103	2013/07/08	2014/01/30	Complete	IBB PAS	SAMN02603330	GCA_000418515.1	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus casei
Mycobacterium marinum M	216594	PRJNA16725	16725	Actinobacteria	Actinobacteria	6.66014	65.7077	NC_010612.1	CP000854.1	NC_010604.1	CP000895.1	-	2	5570	5452	2008/04/15	2013/06/07	Complete	Wellcome Trust Sanger Institute	SAMN02604327	GCA_000018345.1	REPR	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Mycobacterium marinum
Bacillus clausii KSM-K16	66692	PRJNA13291	13291	Firmicutes	Bacilli	4.30387	44.8	NC_006582.1	AP006627.1	-	-	-	1	4204	4096	2004/12/10	2013/06/10	Complete	Kao Corporation, Biological Science Laboratories, Japan	-	GCA_000009825.1	REPR	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus clausii
Treponema succinifaciens DSM 2489	869209	PRJNA50825	50825	Spirochaetes	Spirochaetia	2.89743	39.1714	NC_015385.1	CP002631.1	NC_015386.1	CP002632.1	-	2	2779	2608	2011/04/07	2013/07/06	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00713601	GCA_000195275.1	REPR	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema succinifaciens
Rubrivivax gelatinosus IL144	983917	PRJNA62703	62703	Proteobacteria	Betaproteobacteria	5.04325	71.2	NC_017075.1	AP012320.1	-	-	-	1	4767	4693	2012/03/29	2013/07/06	Complete	National Institute of Technology and Evaluation	-	GCA_000284255.1	REPR	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Rubrivivax	Rubrivivax gelatinosus
Yersinia pseudotuberculosis IP 32953	273123	PRJNA12950	12950	Proteobacteria	Gammaproteobacteria	4.8409	47.5404	NC_006155.1	BX936398.1	NC_006154.1,NC_006153.2	BX936400.1,BX936399.2	-	3	4235	4035	2004/08/27	2013/06/10	Complete	Lawrence Livermore National Laboratory	-	GCA_000047365.1	REPR	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia pseudotuberculosis
Rhodopseudomonas palustris HaA2	316058	PRJNA15747	15747	Proteobacteria	Alphaproteobacteria	5.33166	66	NC_007778.1	CP000250.1	-	-	-	1	4772	4683	2006/02/06	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598335	GCA_000013365.1	-	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris
Anabaena cylindrica PCC 7122	272123	PRJNA43355	43355	Cyanobacteria	Nostocales	7.06328	38.7952	NC_019771.1	CP003659.1	NC_019773.1,NC_019772.1,NC_019775.1,NC_019774.1,NC_020157.1,NC_020056.1	CP003662.1,CP003660.1,CP003665.1,CP003663.1,CP003661.1,CP003664.1	-	7	6258	5838	2012/12/07	2013/07/17	Complete	DOE Joint Genome Institute	SAMN02232008	GCA_000317695.1	REPR	Bacteria	Cyanobacteria	NA	Nostocales	Nostocaceae	Anabaena	Anabaena cylindrica
Corynebacterium ulcerans 809	945711	PRJNA61801	61801	Actinobacteria	Actinobacteria	2.5021	53.3	NC_017317.1	CP002790.1	-	-	-	1	2246	2180	2011/06/02	2014/01/30	Complete	Center for Biotechnology, Bielefeld University	SAMN02603079	GCA_000215645.1	-	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae	Corynebacterium	Corynebacterium ulcerans
Aeromonas hydrophila subsp. hydrophila ATCC 7966	380703	PRJNA16697	16697	Proteobacteria	Gammaproteobacteria	4.74445	61.5	NC_008570.1	CP000462.1	-	-	-	1	4284	4119	2006/11/06	2013/08/27	Complete	TIGR	SAMN02604052	GCA_000014805.1	REPR	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
Enterococcus faecium Aus0085	1305849	PRJNA193299	193299	Firmicutes	Bacilli	3.23928	37.947	NC_021994.1	CP006620.1	NC_021995.1,NC_021989.1,NC_021987.1,NC_021996.1,NC_021988.1,NC_021990.1	CP006622.1,CP006624.1,CP006621.1,CP006625.1,CP006623.1,CP006626.1	-	7	3317	3221	2013/08/06	2013/08/06	Complete	University Of Melbourne	SAMN02604219	GCA_000444405.1	-	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecium
Albidiferax ferrireducens T118	338969	PRJNA13908	13908	Proteobacteria	Betaproteobacteria	4.96978	59.6151	NC_007908.1	CP000267.1	NC_007901.1	CP000268.1	-	2	4554	4417	2006/03/10	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598320	GCA_000013605.1	REPR	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Albidiferax	Albidiferax ferrireducens
Anaerococcus prevotii DSM 20548	525919	PRJNA29533	29533	Firmicutes	Clostridia	1.99863	35.6663	NC_013171.1	CP001708.1	NC_013164.1	CP001709.1	-	2	1916	1806	2009/08/28	2013/12/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00001908	GCA_000024105.1	REPR	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI. Incertae Sedis	Anaerococcus	Anaerococcus prevotii
Chlamydia trachomatis RC-L2(s)/46	907264	PRJNA53847	53847	Chlamydiae/Verrucomicrobia group	Chlamydiae	1.03882	41.3	NC_021887.1	CP002672.1	-	-	-	1	968	925	2013/07/26	2013/07/27	Complete	Oregon State University	SAMN02603698	GCA_000441615.1	-	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Chlamydiaceae	Chlamydia	Chlamydia trachomatis
Exiguobacterium antarcticum B7	1087448	PRJNA73211	73211	Firmicutes	Bacilli	2.81586	47.5	NC_018665.1	CP003063.1	-	-	-	1	2941	2772	2012/09/27	2013/07/07	Complete	Rede Paraense de Genomica e Proteomica	SAMN02603748	GCA_000299435.1	REPR	Bacteria	Firmicutes	Bacilli	Bacillales	NA	Exiguobacterium	Exiguobacterium antarcticum
Kocuria rhizophila DC2201	378753	PRJDA27833	27833	Actinobacteria	Actinobacteria	2.69754	71.2	NC_010617.1	AP009152.1	-	-	-	1	2414	2357	2008/04/18	2013/06/10	Complete	National Institute of Technology and Evaluation	-	GCA_000010285.1	REPR	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	Kocuria rhizophila
Colwellia psychrerythraea 34H	167879	PRJNA275	275	Proteobacteria	Gammaproteobacteria	5.37318	38	NC_003910.7	CP000083.1	-	-	-	1	5053	4909	2002/05/16	2013/08/26	Complete	TIGR	SAMN02604001	GCA_000012325.1	REPR	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Colwelliaceae	Colwellia	Colwellia psychrerythraea
Fibrobacter succinogenes subsp. succinogenes S85	59374	PRJNA47	47	Fibrobacteres/Acidobacteria group	Fibrobacteres	3.843	48	NC_017448.1	CP002158.1	-	-	-	1	3131	2871	2010/08/06	2013/06/11	Complete	TIGR	SAMN02603971	GCA_000146505.1	-	Bacteria	Fibrobacteres	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	Fibrobacter	Fibrobacter succinogenes
Clostridium cellulolyticum H10	394503	PRJNA17419	17419	Firmicutes	Clostridia	4.06872	37.4	NC_011898.1	CP001348.1	-	-	-	1	3569	3390	2009/01/13	2013/12/11	Complete	US DOE Joint Genome Institute	SAMN00623037	GCA_000022065.1	REPR	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium cellulolyticum
Streptococcus sanguinis SK36	388919	PRJNA13942	13942	Firmicutes	Bacilli	2.38843	43.4	NC_009009.1	CP000387.1	-	-	-	1	2348	2270	2007/02/09	2013/06/10	Complete	Virginia Commonwealth University	SAMN02604299	GCA_000014205.1	REPR	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis
Thermovirga lienii DSM 17291	580340	PRJNA33163	33163	Synergistetes	Synergistia	1.99965	47.1032	NC_016148.1	CP003096.1	NC_016149.1	CP003097.1	-	2	1972	1875	2011/11/03	2013/07/17	Complete	DOE Joint Genome Institute	SAMN02232060	GCA_000233775.1	REPR	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Thermovirga	Thermovirga lienii
Burkholderia cenocepacia J2315	216591	PRJNA339	339	Proteobacteria	Betaproteobacteria	8.05578	66.9165	NC_011002.1,NC_011001.1,NC_011000.1	AM747722.1,AM747721.1,AM747720.1	NC_011003.1	AM747723.1	-	4	7365	7116	2008/06/19	2013/06/07	Complete	Sanger Institute	-	GCA_000009485.1	-	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia
Rickettsia akari str. Hartford	293614	PRJNA12953	12953	Proteobacteria	Alphaproteobacteria	1.23106	32.3	NC_009881.1	CP000847.1	-	-	-	1	1292	1257	2007/10/02	2013/08/27	Complete	Univ. Iowa	SAMN02604084	GCA_000018205.1	REPR	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia akari
Belliella baltica DSM 15883	866536	PRJNA50619	50619	Bacteroidetes/Chlorobi group	Bacteroidetes	4.1966	36.8	NC_018010.1	CP003281.1	-	-	-	1	3879	3680	2012/06/08	2013/07/17	Complete	DOE Joint Genome Institute	SAMN02232009	GCA_000265405.1	REPR	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	Belliella	Belliella baltica
Dechlorosoma suillum PS	640081	PRJNA37693	37693	Proteobacteria	Betaproteobacteria	3.80698	65.4	NC_016616.1	CP003153.1	-	-	-	1	3538	3443	2011/12/05	2013/11/07	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02232011	GCA_000236665.1	REPR	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	Azospira oryzae
Halobacillus halophilus DSM 2266	866895	PRJEA50647	50647	Firmicutes	Bacilli	4.17001	41.8004	NC_017668.1	HE717023.1	NC_017670.1,NC_017669.1	HE717025.1,HE717024.1	-	3	4224	4126	2012/04/11	2013/06/08	Complete	Max-Planck-Institute of Biochemistry	-	GCA_000284515.1	REPR	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Halobacillus	Halobacillus halophilus
Thiobacillus denitrificans ATCC 25259	292415	PRJNA13025	13025	Proteobacteria	Betaproteobacteria	2.90981	66.1	NC_007404.1	CP000116.1	-	-	-	1	2879	2827	2005/09/01	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598291	GCA_000012745.1	REPR	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Thiobacillus	Thiobacillus denitrificans
Salmonella bongori NCTC 12419	218493	PRJNA351	351	Proteobacteria	Gammaproteobacteria	4.46011	51.3	NC_015761.1	FR877557.1	-	-	-	1	4054	3863	2011/07/06	2013/07/07	Complete	Sanger Institute	-	GCA_000252995.1	REPR	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella bongori
Selenomonas ruminantium subsp. lactilytica TAM6421	927704	PRJNA60235	60235	Firmicutes	Negativicutes	3.63193	50.1648	NC_017068.1	AP012292.1	NC_017073.1,NC_017074.1,NC_017076.1,NC_017078.1,NC_017069.1,NC_017071.1,NC_017070.1,NC_017077.1,NC_017072.1	AP012300.1,AP012301.1,AP012293.1,AP012299.1,AP012294.1,AP012297.1,AP012295.1,AP012296.1,AP012298.1	-	10	3609	3512	2012/03/29	2013/06/08	Complete	National Institute of Technology and Evaluation	-	GCA_000284095.1	-	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Selenomonas	Selenomonas ruminantium
Streptomyces fulvissimus DSM 40593	1303692	PRJNA192408	192408	Actinobacteria	Actinobacteria	7.90576	71.5	NC_021177.1	CP005080.1	-	-	-	1	7027	6925	2013/05/01	2014/01/30	Complete	Helmholtz Institute for Pharmaceutical Research Saarland, Helmholtz Centre for Infection Research	SAMN02603305	GCA_000385945.1	REPR	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Streptomyces fulvissimus
Brevundimonas subvibrioides ATCC 15264	633149	PRJNA36643	36643	Proteobacteria	Alphaproteobacteria	3.44526	68.4	NC_014375.1	CP002102.1	-	-	-	1	3393	3327	2010/08/05	2013/12/31	Complete	US DOE Joint Genome Institute	SAMN00007485	GCA_000144605.1	REPR	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas subvibrioides
Mycobacterium chubuense NBB4	710421	PRJNA53215	53215	Actinobacteria	Actinobacteria	6.34262	68.3003	NC_018027.1	CP003053.1	NC_018022.1,NC_018023.1	CP003054.1,CP003055.1	-	3	6068	5843	2012/06/12	2013/07/22	Complete	JGI	SAMN02261374	GCA_000266905.1	REPR	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Mycobacterium chubuense
Clostridium beijerinckii NCIMB 8052	290402	PRJNA12637	12637	Firmicutes	Clostridia	6.00063	29.9	NC_009617.1	CP000721.1	-	-	-	1	5243	5020	2007/06/27	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598276	GCA_000016965.1	REPR	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii
Shimwellia blattae DSM 4481 = NBRC 105725	630626	PRJNA36307	36307	Proteobacteria	Gammaproteobacteria	4.15872	56.5	NC_017910.1	CP001560.1	-	-	-	1	4017	3904	2012/05/10	2014/01/30	Complete	Georg August University Goettingen	SAMN02603253	GCA_000262305.1	REPR	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Shimwellia	Shimwellia blattae
Parachlamydia acanthamoebae UV-7	765952	PRJEA49033	49033	Chlamydiae/Verrucomicrobia group	Chlamydiae	3.07238	39	NC_015702.1	FR872580.1	-	-	-	1	2835	2782	2011/06/21	2013/08/28	Complete	University of Vienna, Dept. of Microbial Ecology	-	GCA_000253035.1	REPR	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	Parachlamydia	Parachlamydia acanthamoebae
Anaerobaculum mobile DSM 13181	891968	PRJNA53351	53351	Synergistetes	Synergistia	2.1607	48	NC_018024.1	CP003198.1	-	-	-	1	2109	2017	2012/06/12	2013/07/22	Complete	JGI	SAMN02261375	GCA_000266925.1	REPR	Bacteria	Synergistetes	Synergistia	Synergistales	Synergistaceae	Anaerobaculum	Anaerobaculum mobile
Methylacidiphilum infernorum V4	481448	PRJNA28995	28995	Chlamydiae/Verrucomicrobia group	Verrucomicrobia	2.28715	45.5	NC_010794.1	CP000975.1	-	-	-	1	2524	2472	2008/05/30	2013/06/10	Complete	University of Hawaii	SAMN02604183	GCA_000019665.1	REPR	Bacteria	Verrucomicrobia	NA	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum infernorum
Solibacillus silvestris StLB046	1002809	PRJDA65037	65037	Firmicutes	Bacilli	3.98423	38.5903	NC_018065.1	AP012157.1	NC_018069.1	AP012158.1	-	2	3956	3823	2011/04/05	2013/06/09	Complete	Department of Material and Environmental Chemistry Utsunomiya University	-	GCA_000271325.1	REPR	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Solibacillus	Solibacillus silvestris
Morganella morganii subsp. morganii KT	1124991	PRJNA78681	78681	Proteobacteria	Gammaproteobacteria	3.79954	51.1	NC_020418.1	CP004345.1	-	-	-	1	3624	3526	2013/02/28	2014/01/30	Complete	Changhua Christian Hospital	SAMN02603113	GCA_000286435.2	-	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Morganella	Morganella morganii
Thermodesulfovibrio yellowstonii DSM 11347	289376	PRJNA30733	30733	Nitrospirae	Nitrospira	2.0038	34.1	NC_011296.1	CP001147.1	-	-	-	1	2084	2028	2008/09/26	2013/09/06	Complete	The J. Craig Venter Institute	SAMN02603929	GCA_000020985.1	REFR	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Thermodesulfovibrio	Thermodesulfovibrio yellowstonii
Paenibacillus larvae subsp. larvae DSM 25430	697284	PRJNA42205	42205	Firmicutes	Bacilli	4.05601	44.9812	NC_023134.1	CP003355.1	NC_023147.1	CP003356.1	-	2	4133	3928	2013/12/20	2014/02/14	Complete	Georg-August-University Goettingen	SAMN02641512	GCA_000511405.1	-	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	Paenibacillus larvae
Helicobacter bizzozeronii CIII-1	1002804	PRJEA65019	65019	Proteobacteria	delta/epsilon subdivisions	1.80753	45.8905	NC_015674.1	FR871757.1	NC_015670.1	FR871758.1	-	2	2012	1971	2011/06/08	2013/07/06	Complete	University of Helsinki, Faculty of Veterinary Medicine	-	GCA_000237285.1	REPR	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter bizzozeronii
Rickettsia slovaca str. D-CWPP	1105109	PRJNA75033	75033	Proteobacteria	Alphaproteobacteria	1.27572	32.5	NC_017065.1	CP003375.1	-	-	-	1	1386	1347	2012/03/09	2013/10/17	Complete	Los Alamos National Laboratory	SAMN02603557	GCA_000252365.1	-	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Rickettsia	Rickettsia slovaca
Campylobacter coli RM1875	1183378	PRJNA162955	162955	Proteobacteria	delta/epsilon subdivisions	1.85872	31.0956	-	CP007183.1	-	CP007184.1,CP007186.1,CP007187.1,CP007185.1	-	5	2015	1896	2014/03/03	2014/03/03	Complete	US Department of Agriculture	-	GCA_000583755.1	-	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter coli
Clostridium phytofermentans ISDg	357809	PRJNA16184	16184	Firmicutes	Clostridia	4.84759	35.3	NC_010001.1	CP000885.1	-	-	-	1	4023	3902	2007/11/19	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598360	GCA_000018685.1	REPR	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium phytofermentans
Methylobacterium populi BJ001	441620	PRJNA19559	19559	Proteobacteria	Alphaproteobacteria	5.849	69.3702	NC_010725.1	CP001029.1	NC_010727.1,NC_010721.1	CP001030.1,CP001031.1	-	3	5546	5365	2008/04/09	2013/12/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00000038	GCA_000019945.1	REPR	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium populi
Azotobacter vinelandii CA	1283330	PRJNA186698	186698	Proteobacteria	Gammaproteobacteria	5.36637	65.7	NC_021149.1	CP005094.1	-	-	-	1	5213	5048	2013/04/23	2013/12/11	Complete	North Carolina State University	SAMN01889086	GCA_000380335.1	-	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Azotobacter	Azotobacter vinelandii
