genome	scaffold	read	read_GC	read_buoyant_density	read_start	read_length	fragment_GC	fragment_buoyant_density	fragment_start	fragment_length
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__799/2	47.2	1.706256	313495	250	44.2260967078739	1.70334157477372	279501	37453
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__819/1	36.8	1.696064	3873751	250	46.2694751782201	1.70534408567466	3852791	31001
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__820/1	46.8	1.705864	2390401	250	42.4747656813266	1.7016252703677	2382524	44384
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__870/2	46.8	1.705864	827774	250	45.7638054554354	1.70484852934633	792045	44946
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__886/1	52.4	1.711352	3775872	250	46.5681992641415	1.70563683527886	3757158	37779
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__932/1	46.8	1.705864	1605131	250	45.1429384155881	1.70424007964728	1602018	28124
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__95/1	45.6	1.704688	1606856	250	44.7858038194018	1.70389008774301	1578263	40687
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__979/2	35.2	1.694496	2186305	250	43.0223911426919	1.70216194331984	2158494	36309
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__993/2	31.2	1.690576	3515277	250	42.6321552547585	1.70177951214966	3515149	42923
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__106/1	48.4	1.707432	2919220	250	43.6434743545702	1.70277060486748	2898557	37843
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__156/2	36.4	1.695672	3720094	250	45.2995251573063	1.70439353465416	3690229	42751
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__234/1	46	1.70508	3682809	250	45.8666222814026	1.70494928983577	3663566	36048
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__260/2	42.4	1.701552	3084948	250	45.9636915990886	1.70504441776711	3055856	40817
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__278/1	50.4	1.709392	489075	250	45.499581189422	1.70458958956563	463666	41785
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__296/1	47.2	1.706256	3572196	250	44.3442228886701	1.7034573384309	3552105	43681
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__31/2	48.4	1.707432	788001	250	46.4897001788244	1.70555990617525	757085	43059
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__314/2	49.6	1.708608	2941089	250	44.3434293115473	1.70345656072532	2902833	40148
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__383/2	40.4	1.699592	2341040	250	44.7670663559013	1.70387172502878	2315179	35611
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__422/2	44	1.70312	916502	250	45.1719426098838	1.70426850375769	899574	43910
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__457/2	40.4	1.699592	2758137	250	45.7232461227821	1.70480878120033	2721625	46554
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__461/1	50	1.709	2601610	250	44.8666150099624	1.70396928270976	2597784	36136
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__483/1	47.2	1.706256	1365261	250	44.8464043658129	1.7039494762785	1342827	34083
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__528/1	35.6	1.694888	3059954	250	46.6579172262239	1.7057247588817	3053083	32764
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__530/2	50.8	1.709784	1851769	250	37.9451030652569	1.69718620100395	1847583	46815
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__564/1	56	1.71488	10352	250	44.8683218365124	1.70397095539978	8836	35807
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__596/2	49.6	1.708608	1765422	250	45.3709739048347	1.70446355442674	1751645	44491
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__609/1	43.6	1.702728	3258380	250	45.3031297381701	1.70439706714341	3253324	44189
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__628/2	37.2	1.696456	364075	250	46.439176023012	1.70551039250255	340013	43108
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__630/1	42	1.70116	3813506	250	42.5519752720498	1.70170093576661	3808771	47234
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__645/1	44.8	1.703904	1251534	250	40.9843450839058	1.70016465818223	1221357	44395
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__673/2	51.6	1.710568	3175904	250	44.8993360082378	1.70400134928807	3173432	28163
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__717/1	47.2	1.706256	804524	250	45.8250600898735	1.70490855888808	781593	47845
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__72/1	34.8	1.694104	2525949	250	39.092142655982	1.69831029980286	2524173	39059
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__808/2	45.2	1.704296	324818	250	45.2642968965835	1.70435901095865	323215	43436
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__810/1	40.4	1.699592	556971	250	39.4401616997274	1.69865135846573	546376	42548
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__829/1	45.6	1.704688	3252507	250	44.3815446765534	1.70349391378302	3233392	37626
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__853/2	41.6	1.700768	3790182	250	46.2696421497425	1.70534424930675	3755330	45438
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__865/1	46.4	1.705472	1026686	250	43.7784305060955	1.70290286189597	1020603	38471
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__901/2	37.6	1.696848	4005162	250	43.5367588551588	1.70266602367806	3993173	41473
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__942/1	51.6	1.710568	95852	250	45.2453075133878	1.70434040136312	85278	36974
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__106/2	42.4	1.701552	2919001	250	44.364373381376	1.70347708591375	2906477	35524
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__156/1	26.8	1.686264	3720264	250	45.3876656579359	1.70447991234478	3683664	38332
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__234/2	51.6	1.710568	3683080	250	45.7227400503033	1.7048082852493	3664046	33795
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__260/1	40.4	1.699592	3084761	250	46.7445456107198	1.70580965469851	3053265	34926
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__278/2	44	1.70312	489357	250	42.0078131358346	1.70116765687312	488114	49148
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__296/2	48.8	1.707824	3571818	250	44.7491313104486	1.70385414868424	3569106	45183
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__31/1	48	1.70704	787859	250	46.3241248987672	1.70539764240079	762034	33339
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__314/1	47.6	1.706648	2941176	250	45.8731470481897	1.70495568410723	2939614	38722
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__383/1	41.6	1.700768	2340992	250	45.2332502416442	1.70432858523681	2330512	39314
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__422/1	42.4	1.701552	916232	250	44.6618222470654	1.70376858580212	896754	32202
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__457/1	42	1.70116	2758057	250	45.2504954602019	1.704345485551	2733546	43394
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__461/2	46.4	1.705472	2601805	250	44.6147286638084	1.70372243409053	2583905	42217
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__483/2	42	1.70116	1365342	250	42.9073588221809	1.70204921164574	1365272	39259
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__528/2	50.4	1.709392	3059671	250	46.5699672557032	1.70563856791059	3052095	36953
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__530/1	43.2	1.702336	1851921	250	44.3332903059249	1.70344662449981	1807510	46482
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__564/2	55.6	1.714488	10585	250	44.5652685590548	1.70367396318787	1943	42486
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__596/1	50.8	1.709784	1765329	250	43.7325905292479	1.70285793871866	1735363	41644
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__609/2	40.4	1.699592	3258623	250	45.2312305385769	1.70432660592781	3253603	43355
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__628/1	34.4	1.693712	364093	250	45.5203431226544	1.7046099362602	340619	33574
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__630/2	38.4	1.697632	3813667	250	41.522970099157	1.70069251069717	3810316	39029
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__645/2	45.6	1.704688	1251642	250	42.0895945562801	1.70124780266515	1240178	35270
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__673/1	47.2	1.706256	3176044	250	44.9419967542225	1.70404315681914	3154078	49911
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__717/2	40.4	1.699592	804447	250	45.7533019923886	1.70483823595254	788645	44670
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__72/2	33.6	1.692928	2526109	250	37.5527710410491	1.69680171562023	2489640	44532
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__808/1	47.2	1.706256	324717	250	44.9742941791565	1.70407480829557	299764	45904
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__810/2	40.4	1.699592	556792	250	39.2656892469992	1.69848037546206	540028	48154
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__829/2	42.4	1.701552	3252394	250	44.2437469488556	1.70335887200988	3239026	34823
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__853/1	41.6	1.700768	3790307	250	45.616084903364	1.7047037632053	3779031	41082
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__865/2	41.2	1.700376	1026812	250	44.3330065605912	1.70344634642938	1002650	39783
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__901/1	39.2	1.698416	4004900	250	43.4456270709911	1.70257671452957	3996739	39836
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__942/2	46.4	1.705472	95925	250	45.4524755230602	1.7045434260126	59341	39527
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__135/1	42	1.70116	1130943	250	47.0284106749119	1.70608784246141	1115019	39457
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__143/2	47.6	1.706648	3263714	250	44.4452211193439	1.70355631669696	3230018	42918
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__188/1	38.8	1.698024	134836	250	42.5294854399332	1.70167889573113	119015	38324
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__194/2	54.4	1.713312	931279	250	43.9683449936919	1.70308897809382	929200	43595
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__204/2	43.6	1.702728	1542171	250	43.4630738522954	1.70259381237525	1524998	44088
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__218/1	35.2	1.694496	1985529	250	42.757034690734	1.70190189399692	1974735	46093
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__247/1	34.4	1.693712	1842919	250	42.7712279772155	1.70191580341767	1822348	37745
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__271/2	41.6	1.700768	2119375	250	42.8974095118787	1.70203946132164	2106758	44702
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__302/1	42.8	1.701944	2143186	250	42.8129590968839	1.70195669991495	2132706	38799
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__356/2	49.6	1.708608	1063165	250	44.7394296951819	1.70384464110128	1043138	45765
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__437/2	44	1.70312	2210056	250	44.0844009042954	1.70320271288621	2197855	30521
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__468/2	50	1.709	1836266	250	39.2149424261359	1.69843064357761	1835972	44812
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__474/1	46.8	1.705864	2807992	250	44.0925087983912	1.70321065862242	2788231	37791
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__49/1	45.2	1.704296	1551267	250	43.4291926591256	1.70256060880594	1523468	38633
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__517/1	46	1.70508	1352337	250	43.505183010733	1.70263507935052	1348200	43604
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__521/2	38.4	1.697632	567918	250	39.2514120617403	1.69846638382051	546916	38419
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__548/1	46	1.70508	741542	250	45.0770914628343	1.70417554963358	709895	42028
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__554/2	46	1.70508	831282	250	45.6769645448891	1.70476342525399	793110	38584
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__583/2	37.2	1.696456	2259213	250	41.8910224685737	1.7010532020192	2246884	40412
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__6/2	44.4	1.703512	2754765	250	44.563962046242	1.70367268280532	2742368	44159
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__600/2	36.8	1.696064	731956	250	44.0149812734082	1.70313468164794	704911	40050
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__639/2	40.8	1.699984	3562818	250	43.4773274813348	1.70260778093171	3526792	41923
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__650/1	40	1.6992	246997	250	42.7576197387518	1.70190246734398	209638	37895
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__706/1	33.6	1.692928	2710539	250	45.8030550200208	1.70488699391962	2703360	40458
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__745/2	45.2	1.704296	1254155	250	44.5812949640288	1.70368966906475	1253356	34750
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__773/1	34.8	1.694104	4003981	250	42.6186196591377	1.70176624726596	3973227	46177
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__799/1	44.8	1.703904	313252	250	44.9298456189727	1.70403124870659	290059	48322
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__819/2	39.2	1.698416	3873557	250	45.1054637248477	1.70420335445035	3840030	41199
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__820/2	45.2	1.704296	2390290	250	42.644720635987	1.70179182622327	2375061	44655
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__870/1	42.8	1.701944	827905	250	45.7288303948349	1.70481425378694	788605	40270
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__886/2	54.8	1.713704	3775779	250	46.4509534952527	1.70552193442535	3755797	37179
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__932/2	46.4	1.705472	1605223	250	45.1338618867057	1.70423118464897	1605153	34812
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__95/2	37.6	1.696848	1606621	250	44.3372326129579	1.7034504879607	1564031	45393
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__979/1	39.2	1.698416	2186386	250	43.6948595919958	1.70282096240016	2184955	35931
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__993/1	37.2	1.696456	3515544	250	42.5294187566861	1.70167883038155	3505150	33652
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__126/2	46.8	1.705864	774554	250	46.1392884178653	1.70521650264951	758964	47556
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__147/1	50.4	1.709392	2062073	250	38.143013075083	1.69738015281358	2029401	43059
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__190/1	42.4	1.701552	2981003	250	44.4753669987891	1.70358585965881	2962940	47071
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__2/1	37.2	1.696456	2229209	250	43.0179674340258	1.70215760808535	2211295	35620
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__200/1	45.6	1.704688	1304105	250	44.4152377040764	1.70352693294999	1287657	48695
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__221/2	46	1.70508	2857259	250	44.6069274697123	1.70371478892032	2820736	37474
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__239/1	37.6	1.696848	3829493	250	44.8316401893106	1.70393500738552	3801165	33173
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__258/2	45.2	1.704296	1556461	250	43.4170728658918	1.70254873140857	1533604	40005
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__27/2	38.4	1.697632	1762672	250	43.1334452000353	1.70227077629603	1724626	45292
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__275/1	34.8	1.694104	1177983	250	45.9453262337265	1.70502641970905	1142746	39251
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__324/2	39.2	1.698416	2694909	250	44.8777977874968	1.70398024183175	2694325	38870
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__352/1	47.2	1.706256	231830	250	42.1638639330415	1.70132058665438	206406	39069
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__399/2	43.2	1.702336	1942388	250	43.0193515314623	1.70215896450083	1906639	39015
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__433/1	46.4	1.705472	3998442	250	42.629197427959	1.7017766134794	3967248	46189
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__445/2	44.4	1.703512	2721813	250	45.7505398258	1.70483552902928	2701485	41217
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__508/2	36.4	1.695672	2010758	250	40.6119772694157	1.69979973772403	1996706	34315
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__52/2	49.6	1.708608	3943100	250	43.054813548456	1.70219371727749	3930048	37436
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__525/1	40.4	1.699592	3289429	250	45.3182706930263	1.70441190527917	3253304	41427
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__550/1	43.6	1.702728	2652183	250	43.7780614490712	1.70290250022009	2645115	45436
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__569/1	57.6	1.716448	749196	250	44.6960257787325	1.70380210526316	703512	46550
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__571/2	43.2	1.702336	1815411	250	45.1832108725928	1.70427954665514	1799249	41646
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__587/1	40.8	1.699984	2163823	250	43.0443169576872	1.70218343061853	2139650	39917
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__604/1	38	1.69724	2733368	250	46.4401114206128	1.7055113091922	2727667	26925
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__648/1	48.8	1.707824	496872	250	45.6307430954158	1.70471812823351	459522	38851
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__669/2	44	1.70312	993699	250	43.6275100643637	1.70275495986308	957169	41483
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__720/2	41.6	1.700768	2429132	250	41.9529411764706	1.70111388235294	2408370	38250
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__741/1	54	1.71292	1403979	250	42.1308737017939	1.70128825622776	1392500	41307
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__782/2	46.8	1.705864	2617520	250	44.5549222131745	1.70366382376891	2591343	46666
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__824/1	44	1.70312	2585760	250	44.476467882876	1.70358693852522	2582411	32615
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__849/2	40.4	1.699592	365348	250	47.2051568463185	1.70626105370939	352501	42972
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__868/1	43.6	1.702728	209685	250	42.2257863316404	1.70138127060501	189519	33669
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__882/1	35.6	1.694888	1092114	250	44.80934089695	1.70391315407901	1065652	39311
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__91/1	40.4	1.699592	1048520	250	44.1851156973108	1.70330141338336	1030385	39975
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__917/2	54	1.71292	297821	250	45.1583817771978	1.70425521414165	267039	42145
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__936/1	40.8	1.699984	2297033	250	44.6009599285635	1.70370894072999	2287439	44795
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__962/2	45.2	1.704296	2171559	250	42.6666666666667	1.70181333333333	2147760	41850
Bacillus subtilis subsp. subtilis RO-NN-1, complete genome.	CP002906	CP002906__10/1	47.6	1.706648	2793769	250	44.3709339508215	1.70348351527181	2773560	45345
